rank,symbol,timeframe,macd_params,long_hold_bars,short_hold_bars,long_total_events,long_rise_n,long_fall_n,long_win_rate,long_post_mean_rise,long_post_mean_fall,long_post_mean_total,long_plus1sd,long_minus1sd,long_post_max,long_post_min,long_pre_mean,long_pre_plus1sd,long_pre_minus1sd,short_total_events,short_rise_n,short_fall_n,short_win_rate,short_post_mean_rise,short_post_mean_fall,short_post_mean_total,short_plus1sd,short_minus1sd,short_post_max,short_post_min,short_pre_mean,short_pre_plus1sd,short_pre_minus1sd,base_long_rise_rate,base_short_fall_rate,base_long_mean,base_short_mean,long_edge,short_edge,long_mag_edge,short_mag_edge,active_signal,current_macd,current_signal,current_diff,long_expectancy,short_expectancy,combined_expectancy
21,COST,1W,12/26/9,12,3,287,196,91,0.6829268292682927,0.09446547575762897,-0.05917258930697068,0.045750967322512014,0.1362809875040775,-0.04477905285905346,0.2563903950426027,-0.19045396973535095,0.052898735675318914,0.10076303770888208,0.005034433641755751,241,162,79,0.3278008298755187,0.04623243773238013,-0.035327958167782905,0.01949687227133084,0.0703087837589258,-0.03131503921626411,0.15067290813341136,-0.21682464454976305,-0.01885798915578183,0.0448987629079216,-0.08261474121948525,0.6899810964083176,0.3736059479553903,0.04791149998098115,0.011963878221047563,-0.0070542671400248835,-0.04580511807987164,-0.002160532658469133,0.007532994050283279,LONG,21.6968,17.4871,4.2097,0.045751,0.019497,0.032624
22,JPM,1W,12/26/9,12,3,310,228,82,0.7354838709677419,0.1026364385998473,-0.0775001731632253,0.05498739935929262,0.16850766863324973,-0.05853286991466449,0.36464708282333724,-0.3998850079057064,0.050521542395745404,0.10930016433738238,-0.008257079545891562,227,140,87,0.3832599118942731,0.04851496389937144,-0.05493916603516046,0.008865143175564059,0.07774743232744585,-0.06001714597631774,0.29487776484284045,-0.2808543622427009,-0.026188151133536085,0.045713326273204326,-0.0980896285402765,0.7032136105860114,0.39219330855018586,0.04416108873019924,0.011226329158523762,0.03227026038173053,-0.008933396655912751,0.01082631062909338,-0.0023611859829597032,SHORT,0.2706,0.5776,-0.3069,0.054987,0.008865,0.031926
23,LIT,1W,12/26/9,12,3,284,152,132,0.5352112676056338,0.179794558727088,-0.10137263665911667,0.049111214392654846,0.22632153212142836,-0.12809910333611868,0.6845733301640125,-0.32,0.06704570817843462,0.14493065380019238,-0.01083923744332313,250,141,109,0.436,0.05956286113218343,-0.04467328854598437,0.014115899872502271,0.08547725080980723,-0.05724545106480269,0.2737856282617423,-0.1510883482714469,-0.03948734042119068,0.04057629028608221,-0.11955097112846358,0.5179584120982986,0.43308550185873607,0.04495875233205282,0.011490514817166082,0.01725285550733513,0.0029144981412639326,0.004152462060602026,0.0026253850553361897,LONG,6.89,6.0159,0.8741,0.049111,0.014116,0.031614
24,ARKK,1W,12/26/9,12,3,316,185,131,0.5854430379746836,0.16448313517267746,-0.10928798858751161,0.05098940981639655,0.22298682257911337,-0.12100800294632028,0.608987773983919,-0.4365033935726552,0.07082742253578117,0.16998603811139168,-0.02833119303982934,220,121,99,0.45,0.080524090773832,-0.07500341433279512,0.010536713475849786,0.10933564502677254,-0.08826221807507298,0.31990049751243776,-0.24389470345702513,-0.053287510719512154,0.05471135864242484,-0.16128638008144913,0.6049149338374291,0.4107806691449814,0.05070102824054039,0.012427653040241592,-0.01947189586274556,0.03921933085501861,0.00028838157585615865,-0.0018909395643918053,LONG,-0.0703,-0.6474,0.5771,0.050989,0.010537,0.030763
25,ORCL,1W,12/26/9,12,3,274,195,79,0.7116788321167883,0.1041042355577208,-0.08923268635066808,0.04836110843814883,0.17153255468334735,-0.07481033780704968,0.591844585497211,-0.3845331432644334,0.0685370059848142,0.15221924161675143,-0.015145229647123032,261,154,107,0.4099616858237548,0.06134956241109244,-0.056516922306772056,0.01302881963403688,0.09065452780419316,-0.0645968885361194,0.25347271946154953,-0.2526034852687216,-0.03502831710391662,0.04351997552626372,-0.11357660973409697,0.6370510396975425,0.4312267657992565,0.0443124379711443,0.012194169979013845,0.07462779241924578,-0.0212650799755017,0.0040486704670045295,0.0008346496550230356,LONG,-7.2485,-14.1152,6.8667,0.048361,0.013029,0.030695
26,META,1W,12/26/9,12,3,284,177,107,0.6232394366197183,0.1475567738470074,-0.11610558809647355,0.048219193819005794,0.2287530068649166,-0.132314619226905,0.711899617749709,-0.4970083102493075,0.07442682687978078,0.1665164138862711,-0.017662760126709517,251,149,102,0.4063745019920319,0.06855443953662205,-0.06808920179667162,0.013025947839427014,0.10218103129012578,-0.07612913561127176,0.3097276116563949,-0.31669483941533255,-0.03564797353135461,0.06450129246344755,-0.13579723952615677,0.6521739130434783,0.395910780669145,0.057660576496129615,0.013852974668601982,-0.028934476423760014,0.01046372132288692,-0.00944138267712382,-0.0008270268291749681,LONG,-12.4451,-13.386,0.9409,0.048219,0.013026,0.030623
27,WMT,1W,12/26/9,12,3,319,225,94,0.7053291536050157,0.08139829087658484,-0.06329874102795474,0.03876029401443211,0.12320640379815849,-0.04568581576929427,0.23960320488363224,-0.22088812654850384,0.04308094035274521,0.08850006153844742,-0.0023381808329569834,215,139,76,0.35348837209302325,0.044567530637275345,-0.031116244824554194,0.01781419605541932,0.06588740300694518,-0.030259010896106532,0.2055844511360525,-0.1280803163979312,-0.018013075175776747,0.041703416365035606,-0.07772956671658911,0.7107750472589792,0.39219330855018586,0.04397757815877617,0.011415831260115751,-0.005445893653963529,-0.03870493645716261,-0.00521728414434406,0.006398364795303568,SHORT,5.5181,5.5907,-0.0726,0.03876,0.017814,0.028287
28,INTU,1W,12/26/9,12,3,300,215,85,0.7166666666666667,0.09949870394374036,-0.08680044481033204,0.046713945130086504,0.15305094968010188,-0.059623059419928875,0.2820991847826085,-0.3141824618334686,0.05726166583751399,0.1209383236376134,-0.006414991962585423,237,139,98,0.41350210970464135,0.06031800150841692,-0.061993079641122335,0.009742111412826854,0.0906359932304273,-0.07115177040477359,0.24900911613158933,-0.2918063017536395,-0.03290231428612152,0.05209012219163464,-0.11789475076387768,0.6748582230623819,0.41263940520446096,0.04244938571149826,0.01059283796862551,0.04180844360428482,0.000862704500180389,0.0042645594185882416,-0.0008507265557986567,LONG,-61.7059,-63.5416,1.8356,0.046714,0.009742,0.028228
29,XLK,1W,12/26/9,12,3,301,221,80,0.7342192691029901,0.07147627755414045,-0.06409345635548998,0.03544445458812573,0.1146197775250037,-0.04373086834875224,0.22919428487258803,-0.22302001740644037,0.048876027727733216,0.09418032628939249,0.003571729166073949,234,158,76,0.3247863247863248,0.049366626497034286,-0.042798340699268925,0.019432705527294786,0.0765136532847312,-0.037648242230141626,0.19294315317838143,-0.19189861959719387,-0.01683997037156348,0.045559087217235644,-0.07923902796036261,0.7599243856332704,0.34014869888475835,0.04978879830676469,0.013306996562728384,-0.025705116530280292,-0.015362374098433551,-0.014344343718638963,0.006125708964566401,LONG,7.5127,3.7369,3.7758,0.035444,0.019433,0.027439
30,ADBE,1W,12/26/9,12,3,295,192,103,0.6508474576271186,0.11709353096904697,-0.10369184978986538,0.040005753958308084,0.17610972388757412,-0.09609821597095797,0.517996555683123,-0.3588305248277874,0.061016510116576016,0.14107005497777553,-0.019037034744623503,242,138,104,0.4297520661157025,0.0698155512240787,-0.05837336047531724,0.014726101568139947,0.0936543338114612,-0.06420213067518131,0.300849605008198,-0.17199069177067908,-0.04224839074137118,0.04478882451834794,-0.1292856060010903,0.6162570888468809,0.43866171003717475,0.03507406193380518,0.008584608206334977,0.03459036878023769,-0.008909643921472254,0.004931692024502901,0.006141493361804969,LONG,-23.9598,-26.1815,2.2218,0.040006,0.014726,0.027366
31,TXN,1W,12/26/9,12,3,263,173,90,0.6577946768060836,0.09539905871187547,-0.07401557142417875,0.03742447045238924,0.1410250007977248,-0.0661760598929463,0.37773631274746294,-0.2309230769230769,0.055747210276269527,0.12198710188263612,-0.010492681330097064,268,157,111,0.4141791044776119,0.056909571657997475,-0.042955376381418775,0.015547596910328807,0.08436954265596813,-0.053274348835310514,0.4221788884897623,-0.17541899441340786,-0.023012668784037762,0.04243756459210206,-0.08846290216017759,0.6540642722117203,0.41821561338289964,0.039491439774606354,0.012091057267124882,0.003730404594363357,-0.004036508905287728,-0.002066969322217116,0.0034565396432039257,LONG,24.3379,13.715,10.6229,0.037424,0.015548,0.026486
32,BAC,1W,12/26/9,12,3,307,189,118,0.6156351791530945,0.12531557519496267,-0.08390282909218978,0.04489938071325589,0.18510114795221738,-0.0953023865257056,0.4906391220142027,-0.4435643564356435,0.05672022458720696,0.13197281115507764,-0.018532361980663728,230,131,99,0.43043478260869567,0.06346580434842201,-0.06543208341041813,0.0079836700522256,0.0927653094117464,-0.07679796930729521,0.31110074626865664,-0.3098245614035087,-0.03766875024593144,0.05257315647387502,-0.1279106569657379,0.6294896030245747,0.4144981412639405,0.039833357604048616,0.009967291033686689,-0.01385442387148017,0.015936641344755142,0.005066023109207271,-0.001983620981461088,SHORT,-0.0261,0.0651,-0.0912,0.044899,0.007984,0.026442
33,MA,1W,12/26/9,12,3,291,203,88,0.697594501718213,0.07393842933355929,-0.0665389387745541,0.03145730083351126,0.11425511917062739,-0.051340517503604875,0.17415993052308099,-0.29700073152889545,0.05059544595113638,0.09372077712062943,0.00747011478164334,246,166,80,0.3252032520325203,0.05013602339723327,-0.04204675553552993,0.02015788390690377,0.07820801106898845,-0.03789224325518092,0.2742408476019298,-0.27159345391903533,-0.0197228715987602,0.04759365380678034,-0.08703939700430073,0.7032136105860114,0.3587360594795539,0.044061427453466175,0.011003158394618665,-0.0056191088677983725,-0.033532807447033575,-0.012604126619954914,0.009154725512285104,SHORT,-15.3034,-14.455,-0.8484,0.031457,0.020158,0.025808
34,QQQ,1W,12/26/9,12,3,298,222,76,0.7449664429530202,0.06779795952356367,-0.05961556905729683,0.03530323411367979,0.11086833623507011,-0.04026186800771053,0.22907641656558642,-0.20571613111577589,0.04545253725133758,0.08632021693654512,0.004584857566130036,238,156,82,0.3445378151260504,0.04544459615411672,-0.04028124134210653,0.01590880340331711,0.069043995563298,-0.03722638875666377,0.1766842413591097,-0.1705539358600584,-0.015856303350244016,0.04475659024154674,-0.07646919694203477,0.7618147448015122,0.34386617100371747,0.045366562132561045,0.0118287665019888,-0.016848301848492064,0.0006716441223329483,-0.010063328018881254,0.004080036901328311,LONG,23.4008,12.5106,10.8902,0.035303,0.015909,0.025606
35,DRIV,1W,12/26/9,12,3,228,128,100,0.5614035087719298,0.13034543606460372,-0.08431674730544694,0.03619535563914288,0.17900215415191464,-0.10661144287362886,0.5944859276278002,-0.34005376344086025,0.051534490767693106,0.11728006495903366,-0.01421108342364745,188,109,79,0.42021276595744683,0.06199496677769746,-0.05146069187714366,0.014319450640822727,0.08746267779224358,-0.05882377651059813,0.21588594704684308,-0.280058651026393,-0.03591280924009008,0.04001985786953412,-0.11184547634971427,0.5707317073170731,0.4295942720763723,0.03151501058100891,0.00919058385229621,-0.00932819854514333,-0.009381506118925464,0.004680345058133972,0.005128866788526518,LONG,2.3679,1.6476,0.7203,0.036195,0.014319,0.025257
36,BKNG,1W,12/26/9,12,3,277,170,107,0.6137184115523465,0.0866749987648402,-0.06922790764932928,0.026452576431568953,0.133405397465843,-0.08050024460270512,0.3147506001600426,-0.43184559710494574,0.06251743924500945,0.13512852928642596,-0.010093650796407061,258,161,97,0.375968992248062,0.06905456045443643,-0.055775055279422565,0.022122495624264642,0.10511125434652555,-0.060866263097996254,0.3095539100595992,-0.30561698363555945,-0.03253726051891247,0.04884672498681307,-0.113921246024638,0.6049149338374291,0.4275092936802974,0.0373949172626828,0.0101406202531896,0.008803477714917407,-0.05154030143223537,-0.010942340831113846,0.011981875371075042,SHORT,-9.8122,-8.9355,-0.8766,0.026453,0.022122,0.024288
37,XLC,1W,12/26/9,12,3,207,164,43,0.7922705314009661,0.07484016864178107,-0.07862550635519364,0.04296082552646748,0.12336509141406818,-0.03744344036113321,0.2085725220053578,-0.25642447772231475,0.042376262392382485,0.0866275586951564,-0.001875033910391434,202,117,85,0.4207920792079208,0.037704251909464526,-0.040007375608925554,0.005003814587369688,0.056122804396087744,-0.046115175221348365,0.15788165091994036,-0.20764381402679274,-0.019365988896564105,0.040489755851462014,-0.07922173364459023,0.685785536159601,0.3902439024390244,0.029788784774191116,0.007306592741781557,0.10648499524136512,0.030548176768896373,0.013172040752276366,-0.002302778154411869,SHORT,0.7198,0.7746,-0.0548,0.042961,0.005004,0.023982
