rank,symbol,asset_type,timeframe,macd_params,long_hold_bars,short_hold_bars,long_total_events,long_rise_n,long_fall_n,long_win_rate,long_post_mean_rise,long_post_mean_fall,long_post_mean_total,long_plus1sd,long_minus1sd,long_post_max,long_post_min,long_pre_mean,long_pre_plus1sd,long_pre_minus1sd,short_total_events,short_rise_n,short_fall_n,short_win_rate,short_post_mean_rise,short_post_mean_fall,short_post_mean_total,short_plus1sd,short_minus1sd,short_post_max,short_post_min,short_pre_mean,short_pre_plus1sd,short_pre_minus1sd,base_long_rise_rate,base_short_fall_rate,base_long_mean,base_short_mean,long_edge,short_edge,long_mag_edge,short_mag_edge,active_signal,current_macd,current_signal,current_diff,long_expectancy,short_expectancy,combined_expectancy
22,COST,Stock,1M,12/26/9,6,3,86,60,26,0.6976744186046512,0.15889399837459184,-0.06125561824845343,0.09233713753506652,0.22712488499246564,-0.04245060992233261,0.43478150984406205,-0.17987323087609627,0.12565047845531108,0.23821292350813197,0.013088033402490179,35,25,10,0.2857142857142857,0.11499873733719314,-0.039213224953752825,0.07093817668263715,0.1611979865535152,-0.019321633188240886,0.257837955253059,-0.10212331942512748,-0.010035029026172038,0.07418029921507681,-0.09425035726742088,0.7478991596638656,0.28688524590163933,0.10638406692923325,0.05169658538618685,-0.05022474105921437,-0.0011709601873536313,-0.014046929394166727,-0.019241591296450297,SHORT,67.1992,72.7096,-5.5105,0.092337,0.070938,0.081638
23,ARKK,ETF,1M,12/26/9,6,3,81,57,24,0.7037037037037037,0.26916459974968315,-0.11534607762875622,0.15523551015607148,0.41472932566759624,-0.1042583053554533,0.8137873055905843,-0.422519052691961,0.20048889703989708,0.43161316336311706,-0.030635369283322916,37,19,18,0.4864864864864865,0.1659124432433506,-0.18988002379110633,-0.0071757839626014315,0.22610226421824736,-0.24045383214345023,0.6206818181818182,-0.39840096545481973,-0.10531290077067021,0.10827070301936587,-0.3188965045607063,0.6470588235294118,0.36065573770491804,0.11455446981755965,0.05364215550552845,0.05664488017429192,0.12583074878156847,0.04068104033851183,0.060817939468129883,SHORT,6.077,6.0865,-0.0095,0.155236,0.007176,0.081206
24,META,Stock,1M,12/26/9,6,3,86,62,24,0.7209302325581395,0.205207966485051,-0.14389201927158524,0.10778471464598974,0.32185845355488074,-0.10628902426290124,0.6564601710094968,-0.44375032948494914,0.1962522060983234,0.43594427469271374,-0.04343986249606696,35,19,16,0.45714285714285713,0.2642839098747718,-0.20232577154113127,0.0509766269417875,0.3494628789121536,-0.2475096250285786,0.7611766661126806,-0.4144563167818982,-0.09319466945157173,0.23468328280384604,-0.4210726217069895,0.6974789915966386,0.36885245901639346,0.13540811375300912,0.06050900254340326,0.023451240961500863,0.08829039812646367,-0.027623399107019386,0.00953237560161576,SHORT,47.5451,69.9092,-22.3641,0.107785,0.050977,0.079381
25,URA,ETF,1M,12/26/9,6,3,52,32,20,0.6153846153846154,0.23632580345699408,-0.10618364283720863,0.10459140103614692,0.34973370841926377,-0.14055090634696993,0.849535080304311,-0.24235474006116206,0.23140254289266618,0.47695948179032055,-0.014154396004988162,66,36,30,0.45454545454545453,0.16280732366717957,-0.07971819593033753,0.0525684511228536,0.22308237525351765,-0.11794547300781044,0.6932809773123909,-0.21389891696750896,-0.04599233015187686,0.04460245773164096,-0.1365871180353947,0.5462184873949579,0.47540983606557374,0.09170565803656021,0.04708334764313789,0.06916612798965749,-0.020864381520119213,0.01288574299958671,-0.00548510347971571,LONG,6.8901,5.8735,1.0166,0.104591,0.052568,0.07858
26,ORCL,Stock,1M,12/26/9,6,3,84,46,38,0.5476190476190477,0.23110418919977724,-0.11457420069733182,0.07472586996060886,0.3055684862385853,-0.15611674631736755,1.0115871539947072,-0.4769236239510738,0.15160010706832402,0.33957078511060546,-0.03637057097395743,36,28,8,0.2222222222222222,0.1270317982664873,-0.07905831809121103,0.08123399463144323,0.2520553733845873,-0.08958738412170081,0.8033683911313247,-0.15544542487610297,-0.046851619226576074,0.08994051889821825,-0.1836437573513704,0.6554621848739496,0.3442622950819672,0.09726239017203102,0.04762659128405377,-0.10784313725490191,-0.122040072859745,-0.022536520211422162,-0.033607403347389465,SHORT,10.7352,18.6434,-7.9082,0.074726,0.081234,0.07798
27,QQQ,ETF,1M,12/26/9,6,3,87,73,14,0.8390804597701149,0.1368063383569126,-0.09118727916478404,0.1001177102499729,0.21449274003795793,-0.01425731953801214,0.4592436974789914,-0.2955133844413725,0.12162728628440773,0.2058197504060267,0.03743482216278876,31,24,7,0.22580645161290322,0.09277373196723522,-0.07942465835677495,0.05389022447471681,0.1549097050257848,-0.047129256076351184,0.20523509088177871,-0.2268991007888786,-0.018525074620127178,0.1084991455632768,-0.14554929480353115,0.8235294117647058,0.22950819672131148,0.1009803410509588,0.04936920927579844,0.015551048005409074,-0.003701745108408261,-0.0008626308009858918,-0.004521015198918371,LONG,59.7611,53.7616,5.9995,0.100118,0.05389,0.077004
28,GS,Stock,1M,12/26/9,6,3,63,41,22,0.6507936507936508,0.227100332318639,-0.10515150850552688,0.11107587996734294,0.31108662428996564,-0.08893486435527975,0.6134096625899903,-0.26094109108503694,0.18789616477966156,0.37258269515724207,0.0032096344020810796,55,37,18,0.32727272727272727,0.1026949293545318,-0.08070261832621822,0.042673913749922694,0.16398882886255997,-0.0786410013627146,0.434458315700381,-0.2550392436674991,-0.03332348522263436,0.09722368094940737,-0.1638706513946761,0.6470588235294118,0.3442622950819672,0.11138672476000659,0.05311991967346582,0.0037348272642390157,-0.016989567809239936,-0.0003108447926636476,0.010446005923543125,LONG,121.8617,109.3486,12.5131,0.111076,0.042674,0.076875
29,QCOM,Stock,1M,12/26/9,6,3,65,31,34,0.47692307692307695,0.23057898793351414,-0.12326487980901545,0.04549142634511403,0.2596857423693375,-0.16870288967910946,0.6702115996053066,-0.3014709903209931,0.20444675408813534,0.41280597752471054,-0.003912469348439862,55,32,23,0.41818181818181815,0.23046961930933754,-0.07200851539767884,0.1039787629773125,0.30135012407708034,-0.09339259812245533,0.7392972536348947,-0.1888873569557425,-0.07593244803632974,0.037124926751377685,-0.18898982282403717,0.5546218487394958,0.4672131147540984,0.08271367053005511,0.04558128354588851,-0.07769877181641888,-0.049031296572280225,-0.037222244184941085,-0.05839747943142399,LONG,5.0329,3.5385,1.4945,0.045491,0.103979,0.074735
30,WMT,Stock,1M,12/26/9,6,3,82,66,16,0.8048780487804879,0.15096085219311622,-0.05637170720876451,0.11050571865128585,0.24123586276936787,-0.02022442546679616,0.43006993006993,-0.16296087813115684,0.107655953124127,0.21346292467430666,0.0018489815739473198,36,27,9,0.25,0.06959655075804502,-0.06774025215425054,0.035262350029971135,0.11056387905804274,-0.04003917899810047,0.15213151295625524,-0.18352135374697823,-0.0017485704882064068,0.08678064422969105,-0.09027778520610387,0.7815126050420168,0.26229508196721313,0.09593180130941821,0.04748049984521724,0.023365443738471048,-0.012295081967213128,0.014573917341867637,0.012218149815246104,LONG,15.6515,13.7189,1.9325,0.110506,0.035262,0.072884
31,JPM,Stock,1M,12/26/9,6,3,80,59,21,0.7375,0.1607942679740211,-0.13750823638325071,0.08248986058023726,0.25294816434514367,-0.08796844318466916,0.3886385580946251,-0.32525107604017217,0.14894645190535605,0.2760037048606194,0.021889198950092698,38,27,11,0.2894736842105263,0.11679489703914694,-0.07043452685527697,0.0625969059118137,0.18360001920318142,-0.05840620737955403,0.3199335203074686,-0.1739289906103286,-0.04829718395635351,0.10846242158208616,-0.2050567894947932,0.7647058823529411,0.3114754098360656,0.09954174735134234,0.04797756736869962,-0.02720588235294108,-0.02200172562553926,-0.017051886771105085,-0.014619338543114084,SHORT,29.0469,32.3042,-3.2573,0.08249,0.062597,0.072543
